tax	ZYMO_EVEN	ZYMO_LOG	total
d__Eukaryota	246043	275851	521894
d__Eukaryota;k__Fungi	243393	269858	513251
d__Eukaryota;k__Fungi;p__Ascomycota	122546	269672	392218
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae	122546	269661	392207
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales	122546	269661	392207
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes	122546	269661	392207
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces	122468	269503	391971
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_cerevisiae	121477	267487	388964
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_innocua	10443	349512	359955
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0236	156594	0	156594
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae	120847	186	121033
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales	120847	186	121033
d__Eukaryota;k__Fungi;p__Basidiomycota	120847	186	121033
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes	120847	186	121033
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus	120820	186	121006
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._MSG4854	74084	0	74084
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_swaminathanii	1620	70980	72600
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_deneoformans	71782	114	71896
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_ivanovii	2258	62473	64731
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_neoformans	47504	72	47576
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_welshimeri	964	39004	39968
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_subtilis	26901	7820	34721
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_sp._LM90SB2	0	26309	26309
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_seeligeri	556	24745	25301
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV1316a	22679	0	22679
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella	21268	618	21886
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella_flexneri	14190	618	14808
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_sp._MZ9	13796	0	13796
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_cereus	3248	6698	9946
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_anthracis	0	7125	7125
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV2315	5752	1131	6883
d__Eukaryota;k__Viridiplantae;p__Streptophyta	1893	4770	6663
d__Eukaryota;k__Viridiplantae	1893	4770	6663
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida	1846	4582	6428
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV1202	6218	0	6218
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AZ037	5713	0	5713
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._PS1(2021)	425	4003	4428
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AZ119	4343	0	4343
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_sp._MZ8	4207	0	4207
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fagales	1493	2488	3981
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecium	1732	2211	3943
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Juglandaceae;g__Juglans;s__Juglans_regia	1493	2422	3915
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Juglandaceae	1493	2422	3915
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fagales;f__Juglandaceae;g__Juglans	1493	2422	3915
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AZ035	3210	451	3661
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV1328a	3281	0	3281
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_velezensis	1882	1268	3150
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella_dysenteriae	3071	0	3071
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0836a	2916	0	2916
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Candidatus_Enterococcus_dunnyi	123	2607	2730
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella_boydii	2344	0	2344
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	111	2217	2328
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium_maltaromaticum	111	2217	2328
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium	111	2217	2328
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0561	2298	0	2298
d__Bacteria;k__Bacillati;p__Actinomycetota	469	1698	2167
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes	469	1698	2167
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0167	2119	0	2119
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV1217	1965	0	1965
d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	756	1191	1947
d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo	756	1191	1947
d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	756	1191	1947
d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates	756	1191	1947
d__Eukaryota;k__Metazoa	756	1191	1947
d__Eukaryota;k__Metazoa;p__Chordata	756	1191	1947
d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens	756	1191	1947
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV1939	1770	0	1770
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0015	1752	0	1752
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_inaquosorum	1213	460	1673
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella_sonnei	1661	0	1661
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AZ104	1634	0	1634
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_paradoxus	559	1066	1625
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_sp._3C	1542	0	1542
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales	446	1035	1481
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris	446	1035	1481
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	446	1035	1481
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae	446	1035	1481
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_paraeruginosa	250	1190	1440
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0294	1365	0	1365
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	1284	53	1337
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	1253	64	1317
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	1253	49	1302
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_pneumoniae	1212	53	1265
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_agalactiae	1239	22	1261
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._MSG3299	1181	0	1181
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_tetragattii	1087	0	1087
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_rugosus	661	239	900
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_amyloliquefaciens	410	371	781
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_vallismortis	556	205	761
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_eubayanus	212	539	751
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV2432	722	0	722
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._FDAARGOS_761	215	500	715
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae	23	650	673
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium	23	650	673
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium_canetti	23	650	673
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales	23	650	673
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_tequilensis	457	203	660
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales	192	397	589
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Theaceae	192	375	567
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Theaceae;g__Camellia	192	375	567
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Theaceae;g__Camellia;s__Camellia_sinensis	192	375	567
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_halotolerans	326	148	474
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_mojavensis	363	110	473
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_thuringiensis	36	434	470
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae	134	316	450
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio_anguillarum	134	316	450
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	134	316	450
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Vibrionales	134	316	450
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV1307a	448	0	448
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_sp._SSDFZ54	447	0	447
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AZ197	422	0	422
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_cabrialesii	304	114	418
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._MSG3310	412	0	412
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter	411	0	411
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter	391	0	391
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_albertii	360	17	377
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_mikatae	134	227	361
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DA9	336	0	336
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_fergusonii	312	0	312
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_atrophaeus	226	83	309
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_decagattii	300	0	300
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_schweitzeri	298	0	298
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_argenteus	298	0	298
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_bongori	283	11	294
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_hominis	293	0	293
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_saprophyticus	286	0	286
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;s__Saccharomyces_kudriavzevii	83	182	265
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter_hormaechei	242	0	242
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_simulans	241	0	241
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Pinopsida	47	188	235
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Pinopsida;o__Cupressales;f__Cupressaceae;g__Cryptomeria;s__Cryptomeria_japonica	47	188	235
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Pinopsida;o__Cupressales;f__Cupressaceae	47	188	235
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Pinopsida;o__Cupressales	47	188	235
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Pinopsida;o__Cupressales;f__Cupressaceae;g__Cryptomeria	47	188	235
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae	0	234	234
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales	0	234	234
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_sp._2018103	233	0	233
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Zygotorulaspora;s__Zygotorulaspora_mrakii	65	158	223
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Zygotorulaspora	65	158	223
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_grayi	0	200	200
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae	57	138	195
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales	57	138	195
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_simiae	194	0	194
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_braakii	193	0	193
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_citronellolis	26	157	183
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Santalales;f__Ximeniaceae;g__Malania;s__Malania_oleifera	42	132	174
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_fluorescens	29	145	174
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Santalales;f__Ximeniaceae;g__Malania	42	132	174
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Santalales;f__Ximeniaceae	42	132	174
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Santalales	42	132	174
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Zingiberales;f__Musaceae	0	171	171
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Zingiberales	0	171	171
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Zingiberales;f__Musaceae;g__Musa	0	171	171
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Zingiberales;f__Musaceae;g__Musa;s__Musa_acuminata	0	171	171
