name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Citrobacter rodentium	67825	S	10	1	11	0.00000
Enterobacter hormaechei	158836	S	90	152	242	0.00003
Enterobacter ludwigii	299767	S	13	5	18	0.00000
Enterobacter cloacae	550	S	10	60	70	0.00001
Enterobacter sp. 638	399742	S	43	38	81	0.00001
Kosakonia styphnolobii	3064532	S	11	5	16	0.00000
Trabulsiella odontotermitis	379893	S	18	1	19	0.00000
Pseudomonas aeruginosa	287	S	229103	977317	1206420	0.14550
Pseudomonas paraeruginosa	2994495	S	91	159	250	0.00003
Pseudomonas citronellolis	53408	S	14	12	26	0.00000
Pseudomonas sp. PS1(2021)	2866282	S	22	403	425	0.00005
Pseudomonas sp. FDAARGOS_761	2545800	S	11	204	215	0.00003
Pseudomonas fluorescens	294	S	19	10	29	0.00000
Vibrio anguillarum	55601	S	134	0	134	0.00002
Cryptococcus deneoformans	40410	S	70048	1734	71782	0.00866
Cryptococcus neoformans	5207	S	46214	1290	47504	0.00573
Cryptococcus tetragattii	1859121	S	958	129	1087	0.00013
Cryptococcus decagattii	1859122	S	246	54	300	0.00004
Cryptococcus gattii	37769	S	88	44	132	0.00002
Cryptococcus deuterogattii	1859096	S	12	0	12	0.00000
Kwoniella shivajii	564305	S	15	0	15	0.00000
Kwoniella dejecticola	324770	S	10	0	10	0.00000
Saccharomyces cerevisiae	4932	S	115039	6438	121477	0.01465
Saccharomyces paradoxus	27291	S	547	12	559	0.00007
Saccharomyces eubayanus	1080349	S	173	39	212	0.00003
Saccharomyces mikatae	114525	S	133	1	134	0.00002
Saccharomyces kudriavzevii	114524	S	49	34	83	0.00001
Zygotorulaspora mrakii	42260	S	63	2	65	0.00001
Kluyveromyces lactis	28985	S	10	1	11	0.00000
Homo sapiens	9606	S	658	98	756	0.00009
Juglans regia	51240	S	601	892	1493	0.00018
Vitis riparia	96939	S	11	15	26	0.00000
Capsicum annuum	4072	S	14	43	57	0.00001
Salvia splendens	180675	S	11	23	34	0.00000
Camellia sinensis	4442	S	18	174	192	0.00002
Malania oleifera	397392	S	35	7	42	0.00001
Cryptomeria japonica	3369	S	26	21	47	0.00001
