# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-s" "2" "-t" "CDS" "-g" "locus_tag" "--countReadPairs" "-a" "results/00_REFERENCE/bakta/reference_filtered.gff3" "-o" "results/04_COUNTS/counts.tsv" "results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam" "results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam" "results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam" "results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam" "results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam" "results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam	results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam	results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam	results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam	results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam	results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam
IODOLM_00024	contig_1	21407	22348	+	942	344	8410	5175	3034	2906	6417
IODOLM_00025	contig_1	22391	25207	+	2817	1358	46209	30658	14901	14776	32764
IODOLM_00026	contig_1	25207	25701	+	495	124	3802	2565	2269	2174	4831
IODOLM_00027	contig_1	25826	26275	+	450	133	4052	2533	1520	1460	3450
IODOLM_00028	contig_1	26277	27227	+	951	316	5994	3877	2034	2029	4865
IODOLM_00029	contig_1	27293	28207	+	915	4	104	85	87	85	205
IODOLM_00030	contig_1	28374	29195	+	822	63	1644	767	654	612	1567
IODOLM_00031	contig_1	29651	30799	+	1149	21	482	307	1247	1132	2163
IODOLM_00032	contig_1	30817	34038	+	3222	40	987	659	3176	2698	5632
IODOLM_00033	contig_1	34300	34695	+	396	2	75	45	240	221	522
IODOLM_00034	contig_1	34781	35371	-	591	2	23	15	62	52	177
IODOLM_00035	contig_1	35377	36162	-	786	0	4	11	19	29	70
IODOLM_00036	contig_1	36271	37824	-	1554	7	185	126	172	149	399
IODOLM_00037	contig_1	37898	39115	-	1218	13	321	191	249	213	526
IODOLM_00038	contig_1	39244	40386	-	1143	29	549	295	383	345	839
IODOLM_00039	contig_1	40417	41931	-	1515	1	34	22	54	40	110
IODOLM_00040	contig_1	42403	43173	+	771	0	7	3	12	6	24
IODOLM_00041	contig_1	43188	44129	+	942	0	14	13	18	15	52
IODOLM_00042	contig_1	44180	45466	+	1287	3	23	8	18	26	32
IODOLM_00043	contig_1	45463	45750	+	288	0	2	1	4	3	7
IODOLM_00044	contig_1	45807	47138	+	1332	2	54	14	14	15	29
IODOLM_00045	contig_1	47246	47776	+	531	3	74	37	160	144	321
IODOLM_00046	contig_1	47769	49631	+	1863	15	431	237	561	440	1115
IODOLM_00047	contig_1	49712	50302	+	591	72	1718	913	809	733	1740
IODOLM_00048	contig_1	50380	51222	-	843	53	2137	1301	1157	1180	2583
IODOLM_00049	contig_1	51229	51606	-	378	88	1984	1228	1353	1266	3006
IODOLM_00050	contig_1	51609	52430	-	822	175	4097	2541	2865	2651	5880
IODOLM_00051	contig_1	52427	53416	-	990	86	2085	1482	1583	1459	3389
IODOLM_00052	contig_1	53416	54702	-	1287	343	9771	6535	6239	6105	13797
IODOLM_00053	contig_1	54755	57109	-	2355	504	17185	11092	9734	8738	19511
IODOLM_00054	contig_1	57364	58179	+	816	20	790	430	485	441	1014
IODOLM_00055	contig_1	58474	59124	+	651	6	284	170	428	439	1091
IODOLM_00056	contig_1	59121	59279	+	159	1	56	29	87	92	193
IODOLM_00057	contig_1	59687	60346	-	660	6	171	67	67	59	163
IODOLM_00058	contig_1	60358	62349	-	1992	10	124	89	83	86	202
IODOLM_00059	contig_1	62450	63136	+	687	1	16	10	26	8	34
IODOLM_00060	contig_1	63738	64196	+	459	64	951	604	621	533	1404
IODOLM_00061	contig_1	64198	65139	+	942	75	1007	697	1097	1028	2362
IODOLM_00062	contig_1	65136	65501	+	366	19	243	221	282	248	587
IODOLM_00063	contig_1	65517	67283	+	1767	47	1263	856	1081	948	2829
IODOLM_00064	contig_1	67270	68757	+	1488	72	1407	942	948	904	2104
IODOLM_00065	contig_1	68754	70112	+	1359	42	1085	826	1091	995	2080
IODOLM_00066	contig_1	70106	71188	+	1083	34	810	598	865	871	1848
IODOLM_00067	contig_1	71191	72507	+	1317	38	858	552	1136	1083	2504
IODOLM_00068	contig_1	72507	73751	+	1245	45	734	529	915	825	2068
IODOLM_00069	contig_1	73748	74815	+	1068	50	849	607	1027	885	2243
IODOLM_00070	contig_1	74869	76344	+	1476	81	1515	1034	1738	1619	3837
IODOLM_00071	contig_1	76337	77257	+	921	102	2116	1313	1653	1657	3605
IODOLM_00072	contig_1	77259	78089	+	831	113	1977	1227	1479	1279	3510
IODOLM_00073	contig_1	78086	79348	+	1263	247	4424	2488	2284	2261	5367
IODOLM_00074	contig_1	79409	80560	+	1152	540	10680	6280	7045	6388	13414
IODOLM_00075	contig_1	80661	81578	+	918	1907	58011	30743	26163	24814	54543
IODOLM_00076	contig_1	81734	82321	+	588	96	2067	1321	2025	1703	4442
IODOLM_00077	contig_1	82383	85088	+	2706	539	14086	9089	11771	10708	23620
IODOLM_00078	contig_1	85148	85537	+	390	7	227	135	182	169	352
IODOLM_00079	contig_1	85753	85950	-	198	7	494	307	205	168	468
IODOLM_00080	contig_1	85960	86703	-	744	42	1265	789	458	430	1067
IODOLM_00081	contig_1	86703	87323	-	621	40	772	479	291	270	719
IODOLM_00082	contig_1	87548	88591	+	1044	75	2069	1327	1136	1099	2205
IODOLM_00083	contig_1	88626	89828	-	1203	20	313	197	158	154	400
IODOLM_00084	contig_1	89818	91203	-	1386	15	363	234	317	270	606
IODOLM_00085	contig_1	91213	91653	-	441	1	26	14	17	11	34
IODOLM_00086	contig_1	91856	92749	-	894	41	2385	1388	860	751	1875
IODOLM_00087	contig_1	92837	93388	+	552	61	889	469	346	332	802
IODOLM_00088	contig_1	93385	94239	+	855	74	1365	775	406	405	833
IODOLM_00089	contig_1	94282	95652	-	1371	37	863	464	1278	1110	2392
IODOLM_00090	contig_1	96196	96960	+	765	79	2828	1657	5282	4733	12705
IODOLM_00091	contig_1	97121	99784	+	2664	1799	60523	43843	110655	108161	245433
IODOLM_00092	contig_1	99799	101691	+	1893	1078	29174	21747	57641	53773	127758
IODOLM_00093	contig_1	102016	103440	+	1425	547	16230	11131	37970	36420	78735
IODOLM_00094	contig_1	103511	105364	-	1854	5	130	85	64	62	148
IODOLM_00095	contig_1	105719	108316	+	2598	321	14983	8267	17142	17544	39674
IODOLM_00096	contig_1	108492	108854	+	363	69	1889	984	688	667	1384
IODOLM_00097	contig_1	108892	109686	-	795	55	1777	1234	4811	4013	8651
IODOLM_00098	contig_1	109702	110568	-	867	86	2141	1499	8413	6694	15161
IODOLM_00099	contig_1	110674	110982	-	309	27	557	363	645	559	1256
IODOLM_00100	contig_1	111187	112737	+	1551	55	1567	772	824	748	1903
IODOLM_00101	contig_1	112939	115329	-	2391	83	3234	1796	9101	9182	18200
IODOLM_00102	contig_1	115535	116071	+	537	178	6649	3685	1753	1659	3155
IODOLM_00103	contig_1	116112	116774	-	663	189	4399	2286	2459	2488	4679
IODOLM_00104	contig_1	116883	117809	+	927	182	4478	2828	1841	1730	3803
IODOLM_00105	contig_1	117806	118576	+	771	141	3951	2388	1158	1185	2324
IODOLM_00106	contig_1	118681	119121	+	441	32	747	446	214	214	448
IODOLM_00107	contig_1	119185	120414	+	1230	14	407	209	411	347	933
IODOLM_00108	contig_1	120418	120798	-	381	82	6278	3460	1874	1838	4282
IODOLM_00109	contig_1	121072	121974	+	903	38	484	236	175	141	404
IODOLM_00110	contig_1	122048	122899	-	852	168	6502	3844	2135	2044	4075
IODOLM_00111	contig_1	122911	123705	-	795	49	3206	1899	1530	1251	2962
IODOLM_00112	contig_1	123819	125057	-	1239	2	39	29	171	184	554
IODOLM_00113	contig_1	125107	125703	-	597	0	20	5	50	58	141
IODOLM_00114	contig_1	125730	126335	-	606	0	10	10	67	48	142
IODOLM_00115	contig_1	126347	126916	-	570	0	13	4	57	50	178
IODOLM_00116	contig_1	126933	129530	-	2598	2	32	24	78	64	212
IODOLM_00117	contig_1	129565	130305	-	741	0	4	2	8	8	15
IODOLM_00118	contig_1	130403	130987	-	585	0	6	1	13	14	36
IODOLM_00119	contig_1	131357	131836	-	480	1	192	111	218	248	524
IODOLM_00120	contig_1	131833	133197	-	1365	119	4009	2629	3868	3426	7757
IODOLM_00121	contig_1	133290	134216	-	927	15	416	262	447	416	982
IODOLM_00122	contig_1	134253	134708	-	456	241	5754	3067	4823	4268	9260
IODOLM_00123	contig_1	134886	135590	-	705	173	3436	1756	1184	1133	2526
IODOLM_00124	contig_1	135605	136135	-	531	10	229	138	119	96	238
IODOLM_00125	contig_1	136209	138638	+	2430	159	3315	2066	1065	988	2447
IODOLM_00126	contig_1	138834	141368	+	2535	229	6264	3901	2490	2379	5395
IODOLM_00127	contig_1	141588	143831	+	2244	339	8853	5071	5632	4549	11495
IODOLM_00128	contig_1	143882	144679	+	798	19	317	194	303	270	683
IODOLM_00129	contig_1	144679	145569	+	891	19	362	220	232	206	508
IODOLM_00130	contig_1	145566	147548	+	1983	29	593	369	403	392	1020
IODOLM_00131	contig_1	147706	148986	-	1281	115	3632	2111	2399	2283	4937
IODOLM_00132	contig_1	149211	150632	+	1422	42	911	527	1662	1455	4103
IODOLM_00133	contig_1	150656	150721	+	66	0	5	1	28	12	53
IODOLM_00134	contig_1	150714	151058	+	345	108	6497	3684	1736	1891	4268
IODOLM_00135	contig_1	151105	151728	-	624	40	698	393	199	176	337
IODOLM_00136	contig_1	151766	152566	-	801	30	1075	755	260	231	476
IODOLM_00137	contig_1	152559	153257	-	699	80	3193	1922	1533	1472	2941
IODOLM_00138	contig_1	153341	154858	+	1518	38	621	358	829	789	1781
IODOLM_00139	contig_1	154988	156412	+	1425	110	2405	1236	2391	2130	5028
IODOLM_00140	contig_1	156567	157724	+	1158	42	512	248	101	103	214
IODOLM_00141	contig_1	157813	158199	-	387	96	2525	1314	1681	1452	3324
IODOLM_00142	contig_1	158361	159104	-	744	4	187	108	158	129	304
IODOLM_00143	contig_1	159227	160051	-	825	470	9363	5150	3694	3696	7674
IODOLM_00144	contig_1	160082	162754	-	2673	66	3120	2017	1099	1116	2425
IODOLM_00145	contig_1	162816	163610	-	795	177	3966	2242	1988	1910	4549
IODOLM_00146	contig_1	163978	164703	+	726	2150	43113	27040	71014	63805	122617
IODOLM_00147	contig_1	164961	165812	+	852	711	20259	12974	28569	26853	49677
IODOLM_00148	contig_1	165959	166684	+	726	149	3664	2228	3055	2963	6447
IODOLM_00149	contig_1	166976	167533	+	558	458	12683	7205	10047	9178	22041
IODOLM_00150	contig_1	167625	168821	+	1197	76	2421	1547	1490	1384	3314
IODOLM_00151	contig_1	169010	169768	+	759	328	6826	4463	3505	3255	6736
IODOLM_00152	contig_1	169768	169920	+	153	20	229	159	70	84	166
IODOLM_00153	contig_1	169889	170638	+	750	247	4625	3102	2018	2086	4344
IODOLM_00154	contig_1	170650	172002	+	1353	618	11610	7227	5225	4817	11532
IODOLM_00155	contig_1	172032	174464	+	2433	1116	26114	18041	17072	16669	36380
IODOLM_00156	contig_1	174586	175071	+	486	285	11289	6778	10494	10020	20403
IODOLM_00157	contig_1	175075	176100	+	1026	396	15798	9618	9884	9576	21565
IODOLM_00158	contig_1	176205	176660	+	456	336	5553	3111	3747	3439	7456
IODOLM_00159	contig_1	176664	177452	+	789	355	7822	4200	4519	4165	9433
IODOLM_00160	contig_1	177452	178600	+	1149	149	3751	2371	2437	2229	5000
IODOLM_00161	contig_1	178597	179193	+	597	59	1236	861	950	904	2081
IODOLM_00162	contig_1	179230	182712	+	3483	601	12431	8112	6280	5977	13769
IODOLM_00163	contig_1	182725	183684	+	960	255	7596	4677	4602	4531	9124
IODOLM_00164	contig_1	183783	185924	+	2142	37	812	477	1294	1110	2697
IODOLM_00165	contig_1	185981	186370	+	390	18	355	196	358	304	721
IODOLM_00166	contig_1	186435	187733	+	1299	115	1480	804	787	688	1750
IODOLM_00167	contig_1	187782	188042	-	261	22	619	375	585	571	1286
IODOLM_00168	contig_1	188029	188229	-	201	31	896	404	754	718	2040
IODOLM_00169	contig_1	188395	188940	+	546	16	520	330	527	441	1042
IODOLM_00170	contig_1	188937	189359	+	423	10	295	156	295	241	668
IODOLM_00171	contig_1	189373	190083	+	711	49	916	483	940	745	1974
IODOLM_00172	contig_1	190283	191107	-	825	15	218	118	147	142	336
IODOLM_00173	contig_1	191161	192879	-	1719	523	16518	9594	5888	5950	12410
IODOLM_00174	contig_1	192991	193698	-	708	12	634	429	497	462	1186
IODOLM_00175	contig_1	193695	194099	-	405	9	590	380	686	596	1541
IODOLM_00176	contig_1	194217	195032	-	816	90	3476	2047	2245	1885	4129
IODOLM_00177	contig_1	195072	195725	-	654	17	1100	631	722	586	1443
IODOLM_00178	contig_1	195718	196749	-	1032	27	1186	628	867	760	1737
IODOLM_00179	contig_1	196937	197512	+	576	82	1763	874	437	445	961
IODOLM_00180	contig_1	199062	199316	+	255	54952	1657	2011	3069	115	583
IODOLM_00181	contig_1	203271	204074	+	804	5	156	82	201	158	327
IODOLM_00182	contig_1	204071	204985	-	915	55	1075	552	381	332	803
IODOLM_00183	contig_1	205247	206026	+	780	288	7866	4102	3401	3204	7724
IODOLM_00184	contig_1	206030	206653	+	624	81	1936	1093	938	906	2159
IODOLM_00185	contig_1	206701	207921	-	1221	1923	34725	18932	5295	4873	10034
IODOLM_00186	contig_1	208131	208886	-	756	37	836	524	1212	1176	2474
IODOLM_00187	contig_1	208920	209642	+	723	15	458	249	320	275	642
IODOLM_00188	contig_1	209639	210106	-	468	76	1480	796	445	370	825
IODOLM_00189	contig_1	210162	210902	+	741	35	1068	569	716	699	1565
IODOLM_00190	contig_1	211439	212224	+	786	0	20	7	29	36	80
IODOLM_00191	contig_1	212361	212840	-	480	0	2	4	9	27	41
IODOLM_00192	contig_1	212850	213188	-	339	0	2	3	16	25	50
IODOLM_00193	contig_1	213523	214293	-	771	59	1432	691	737	706	1622
IODOLM_00194	contig_1	214474	214920	+	447	14	307	194	600	498	1363
IODOLM_00195	contig_1	214963	217407	-	2445	30	1221	805	1290	1389	2808
IODOLM_00196	contig_1	217647	218225	+	579	124	4257	2422	1148	1095	2353
IODOLM_00197	contig_1	218431	219198	+	768	121	2578	1477	778	690	1655
IODOLM_00198	contig_1	219169	219909	-	741	159	4145	2608	3197	3172	6962
IODOLM_00199	contig_1	220065	220343	-	279	14	351	212	344	314	819
IODOLM_00200	contig_1	220346	220606	-	261	44	1487	833	975	980	2492
IODOLM_00201	contig_1	220939	221565	+	627	6	68	33	52	50	120
IODOLM_00202	contig_1	221741	222238	+	498	3	110	67	66	82	160
IODOLM_00203	contig_1	222462	224201	-	1740	1	63	38	78	65	170
IODOLM_00204	contig_1	224296	224931	+	636	5	38	29	27	36	89
IODOLM_00205	contig_1	225002	226057	+	1056	18	396	199	224	177	577
IODOLM_00206	contig_1	226109	226402	+	294	1	49	23	397	453	1165
IODOLM_00207	contig_1	226405	226803	+	399	1	18	14	129	106	324
IODOLM_00208	contig_1	226891	227265	+	375	0	20	10	78	75	267
IODOLM_00209	contig_1	227571	227837	+	267	0	6	1	24	15	73
IODOLM_00210	contig_1	227806	228306	+	501	2	19	11	34	40	96
IODOLM_00211	contig_1	228363	229820	-	1458	390	18944	11259	7516	7132	13415
IODOLM_00212	contig_1	230081	230539	+	459	14	698	385	1168	1067	2352
IODOLM_00213	contig_1	230631	231875	+	1245	89	2274	1221	951	853	1890
IODOLM_00214	contig_1	231933	232334	+	402	107	6653	3425	4148	4721	10523
IODOLM_00215	contig_1	232373	233428	-	1056	0	10	6	22	15	67
IODOLM_00216	contig_1	233716	234819	+	1104	281	7505	4903	2164	2102	4975
IODOLM_00217	contig_1	234831	236084	+	1254	335	9164	5757	2227	2303	5367
IODOLM_00218	contig_1	236436	236540	-	105	4	19	6	6	3	21
IODOLM_00219	contig_1	236656	236997	-	342	0	9	4	8	8	16
IODOLM_00220	contig_1	237018	237335	-	318	0	1	0	6	1	4
IODOLM_00221	contig_1	237354	237575	-	222	0	0	2	2	1	2
IODOLM_00222	contig_1	237584	238060	-	477	0	3	5	8	6	18
IODOLM_00223	contig_1	238076	238534	-	459	0	1	3	7	5	9
IODOLM_00224	contig_1	238632	238871	-	240	0	4	1	9	5	9
IODOLM_00225	contig_1	238948	239415	-	468	32	1265	676	561	465	1042
IODOLM_00226	contig_1	239438	240295	-	858	6	111	64	74	71	172
IODOLM_00227	contig_1	240512	241333	-	822	2	18	11	73	80	162
IODOLM_00228	contig_1	241425	242288	-	864	15	424	237	374	285	769
IODOLM_00229	contig_1	242617	243510	-	894	6	89	36	88	108	231
IODOLM_00230	contig_1	243606	243974	+	369	5	58	43	52	43	113
IODOLM_00231	contig_1	243931	245082	+	1152	24	503	321	483	395	974
IODOLM_00232	contig_1	245344	245583	+	240	23	398	281	340	368	819
IODOLM_00233	contig_1	246175	247320	+	1146	25	541	341	661	639	1590
IODOLM_00234	contig_1	247429	248409	-	981	41	1166	616	815	663	1741
IODOLM_00235	contig_1	248487	248576	+	90	0	2	2	7	2	16
IODOLM_00236	contig_1	248629	250056	+	1428	23	462	248	927	777	1843
IODOLM_00237	contig_1	250043	250975	+	933	59	1043	565	708	653	1470
IODOLM_00238	contig_1	251084	252130	-	1047	12	323	192	356	331	879
IODOLM_00239	contig_1	252142	252504	-	363	8	114	59	176	163	421
IODOLM_00240	contig_1	252506	252883	-	378	13	176	103	222	172	438
IODOLM_00241	contig_1	252928	253203	-	276	9	214	109	245	192	513
IODOLM_00242	contig_1	253352	253690	-	339	5	239	132	151	140	257
IODOLM_00243	contig_1	253713	254063	-	351	9	245	123	353	321	643
IODOLM_00244	contig_1	254157	255299	-	1143	12	236	114	368	276	671
IODOLM_00245	contig_1	255606	256514	+	909	153	4848	2940	2347	2473	5061
IODOLM_00246	contig_1	256529	258496	+	1968	187	3320	1862	3091	2526	6993
IODOLM_00247	contig_1	258723	260105	+	1383	0	117	72	103	82	223
IODOLM_00248	contig_1	260117	261727	+	1611	4	203	163	125	137	310
IODOLM_00249	contig_1	261732	261965	-	234	1	4	2	18	9	29
IODOLM_00250	contig_1	262073	262594	+	522	4	282	164	136	127	307
IODOLM_00251	contig_1	263077	263442	+	366	4	240	111	126	120	297
IODOLM_00252	contig_1	263439	263936	-	498	3	240	133	416	363	1150
IODOLM_00253	contig_1	264075	265079	-	1005	45	830	458	1007	808	2290
IODOLM_00254	contig_1	265423	265800	-	378	13	211	101	161	172	458
IODOLM_00255	contig_1	265845	266120	-	276	10	157	83	222	190	473
IODOLM_00256	contig_1	266274	267005	+	732	27	671	334	312	276	630
IODOLM_00257	contig_1	267096	267722	-	627	1	125	57	124	104	279
IODOLM_00258	contig_1	267994	268692	-	699	3	72	43	211	210	430
IODOLM_00259	contig_1	268719	269573	-	855	1	66	28	78	68	143
IODOLM_00260	contig_1	269692	269916	-	225	0	18	11	7	4	13
IODOLM_00261	contig_1	269913	270353	-	441	7	385	235	4906	4422	8298
IODOLM_00262	contig_1	270470	271795	-	1326	19	477	301	1190	1112	2459
IODOLM_00263	contig_1	272155	272565	-	411	3	55	38	130	118	297
IODOLM_00264	contig_1	272544	273500	-	957	13	372	224	304	285	641
IODOLM_00265	contig_1	273510	275708	-	2199	14	803	458	668	565	1270
IODOLM_00266	contig_1	275705	276661	-	957	2	171	97	262	202	510
IODOLM_00267	contig_1	276658	277347	-	690	1	117	80	268	207	591
IODOLM_00268	contig_1	277765	278379	+	615	8	404	215	2386	2743	6056
IODOLM_00269	contig_1	279269	279979	-	711	7	138	110	124	92	290
IODOLM_00270	contig_1	279948	281591	-	1644	8	221	149	161	133	374
IODOLM_00271	contig_1	281581	284106	-	2526	9	150	63	149	114	310
IODOLM_00272	contig_1	284132	284800	-	669	0	6	7	56	32	79
IODOLM_00273	contig_1	284858	285445	-	588	2	23	14	152	129	305
IODOLM_00274	contig_1	285520	286062	-	543	2	4	5	33	42	65
IODOLM_00275	contig_1	287148	287288	-	141	0	31	20	112	194	462
IODOLM_00276	contig_1	287288	287554	-	267	3	83	39	798	926	3099
IODOLM_00277	contig_1	287915	288016	-	102	0	3	3	13	36	19
IODOLM_00278	contig_1	289131	290018	+	888	0	5	3	4	9	19
IODOLM_00279	contig_1	290065	290364	+	300	0	100	47	106	87	193
IODOLM_00280	contig_1	290361	291227	+	867	6	152	87	112	137	308
IODOLM_00281	contig_1	291224	291910	-	687	2	83	66	225	223	458
IODOLM_00282	contig_1	292500	293093	-	594	1	46	39	87	85	169
IODOLM_00283	contig_1	293450	294775	-	1326	6	121	56	206	152	411
IODOLM_00284	contig_1	295001	295855	+	855	1	16	10	75	85	199
IODOLM_00285	contig_1	296382	297101	+	720	3	40	12	143	149	323
IODOLM_00286	contig_1	297112	298539	+	1428	8	205	107	234	259	513
IODOLM_00287	contig_1	298532	299227	+	696	5	91	64	101	103	259
IODOLM_00288	contig_1	299470	300138	-	669	0	11	9	157	156	280
IODOLM_00289	contig_1	300351	302021	-	1671	15	444	318	5574	5561	12200
IODOLM_00290	contig_1	302035	303507	-	1473	21	932	535	6517	6648	15288
IODOLM_00291	contig_1	303521	304108	-	588	26	421	290	3499	3431	8170
IODOLM_00292	contig_1	304237	306270	+	2034	32	1075	620	6820	7215	14444
IODOLM_00293	contig_1	307145	308233	+	1089	5	159	84	482	437	1127
IODOLM_00294	contig_1	308275	309207	-	933	5	116	67	80	56	133
IODOLM_00295	contig_1	309299	309796	-	498	2	11	8	4	4	5
IODOLM_00296	contig_1	310054	310659	+	606	9	187	105	260	214	539
IODOLM_00297	contig_1	310699	311562	+	864	1	35	21	57	53	126
IODOLM_00298	contig_1	311552	313099	+	1548	0	46	23	98	98	199
IODOLM_00299	contig_1	313099	315225	+	2127	8	175	92	112	111	260
IODOLM_00300	contig_1	315327	315866	+	540	46	1222	652	214	187	488
IODOLM_00301	contig_1	316090	316923	-	834	11	281	141	464	381	914
IODOLM_00302	contig_1	317017	318126	-	1110	17	785	453	1154	970	2146
IODOLM_00303	contig_1	318161	318436	-	276	5	187	87	311	242	552
IODOLM_00304	contig_1	318624	319397	-	774	4	142	80	168	126	348
IODOLM_00305	contig_1	319399	319842	-	444	0	4	1	23	21	64
IODOLM_00306	contig_1	319906	320271	+	366	52	949	545	493	451	969
IODOLM_00307	contig_1	320229	321134	+	906	75	1529	880	832	697	1619
IODOLM_00308	contig_1	321294	322490	-	1197	3	24	14	75	63	229
IODOLM_00309	contig_1	322614	323171	-	558	0	3	0	4	4	12
IODOLM_00310	contig_1	323787	324749	+	963	26	451	175	559	291	983
IODOLM_00311	contig_1	324762	325529	+	768	9	209	85	405	208	630
IODOLM_00312	contig_1	325526	326353	+	828	5	157	34	298	161	460
IODOLM_00313	contig_1	326350	327201	+	852	12	215	86	409	218	681
IODOLM_00314	contig_1	327308	328282	-	975	51	2553	1566	1405	1248	2806
IODOLM_00315	contig_1	328806	330266	+	1461	1	62	32	156	137	350
IODOLM_00316	contig_1	330294	331160	-	867	2	170	108	174	163	403
IODOLM_00317	contig_1	331157	331456	-	300	6	165	99	161	138	332
IODOLM_00318	contig_1	331576	332973	+	1398	12	280	160	343	322	889
IODOLM_00319	contig_1	333061	333684	+	624	0	2	1	7	5	23
IODOLM_00320	contig_1	333685	334842	-	1158	42	974	527	452	470	973
IODOLM_00321	contig_1	334888	334989	-	102	0	9	4	10	12	31
IODOLM_00322	contig_1	335194	336414	+	1221	32	662	407	435	401	1013
IODOLM_00323	contig_1	336427	337521	+	1095	41	1000	600	519	412	1057
IODOLM_00324	contig_1	337580	337888	-	309	2	48	42	41	28	121
IODOLM_00325	contig_1	338148	338360	+	213	16	435	228	130	162	300
IODOLM_00326	contig_1	338384	339478	-	1095	105	2843	1752	1287	1258	2763
IODOLM_00327	contig_1	339941	340201	+	261	8	235	133	281	229	692
IODOLM_00328	contig_1	340302	341717	+	1416	7	373	245	592	504	1362
IODOLM_00329	contig_1	341836	342156	+	321	12	649	298	1191	995	2405
IODOLM_00330	contig_1	342258	343373	+	1116	19	1136	430	151	118	357
IODOLM_00331	contig_1	343390	344199	-	810	45	1397	794	1102	930	2165
IODOLM_00332	contig_1	344319	344777	+	459	29	603	343	434	387	958
IODOLM_00333	contig_1	344960	345484	+	525	79	1153	726	1300	1144	2447
IODOLM_00334	contig_1	345534	345725	+	192	45	1554	794	1164	889	2205
IODOLM_00335	contig_1	345983	346660	+	678	15	359	183	650	623	1326
