locus_tag	Gene	Product	COG_category	KEGG_Pathway
IODOLM_00035		Carnitinyl-CoA dehydratase	I	-
IODOLM_00039		L-carnitine/gamma-butyrobetaine antiporter	M	-
IODOLM_00044		Major facilitator superfamily (MFS) profile domain-containing protein	P	-
IODOLM_00045	kefF	Glutathione-regulated potassium-efflux system ancillary protein KefF	C	-
IODOLM_00046	kefC	Glutathione-regulated potassium-efflux system protein KefC	P	-
IODOLM_00047		Dihydrofolate reductase	H	ko00670,ko00790,ko01100,ko01523,map00670,map00790,map01100,map01523
IODOLM_00048		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical	T	ko00230,map00230
IODOLM_00049	apaG	Protein ApaG	P	-
IODOLM_00050		Ribosomal RNA small subunit methyltransferase A	J	-
IODOLM_00052	surA	Chaperone SurA	O	-
IODOLM_00053	lptD	LPS-assembly protein LptD	M	-
IODOLM_00055	yabP	Protein YabP	S	-
IODOLM_00056		hypothetical protein		
IODOLM_00057	rluA	Dual-specificity RNA pseudouridine synthase RluA	J	-
IODOLM_00060	mraZ	Transcriptional regulator MraZ	K	-
IODOLM_00064		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	M	ko00300,ko00550,map00300,map00550
IODOLM_00067		UDP-N-acetylmuramoylalanine--D-glutamate ligase	M	ko00471,ko00550,ko01100,map00471,map00550,map01100
IODOLM_00073	ftsA	Cell division protein FtsA	D	ko04112,map04112
IODOLM_00074	ftsZ	Cell division protein FtsZ	D	ko04112,map04112
IODOLM_00075		UDP-3-O-acyl-N-acetylglucosamine deacetylase	M	ko00540,ko01100,map00540,map01100
IODOLM_00079	yacG	DNA gyrase inhibitor YacG	S	-
IODOLM_00080	zapD	Cell division protein ZapD	D	-
IODOLM_00081		Dephospho-CoA kinase	F	ko00770,ko01100,map00770,map01100
IODOLM_00082		GMP reductase	F	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110
IODOLM_00083	hofC	Protein transport protein HofC	U	-
IODOLM_00086		nicotinate-nucleotide diphosphorylase (carboxylating)	F	ko00760,ko01100,map00760,map01100
IODOLM_00087	ampD	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	V	-
IODOLM_00088		Membrane-bound sensory transducer in beta-lactamase regulation	V	-
IODOLM_00089		Amino acid permease/ SLC12A domain-containing protein	U	-
IODOLM_00090		Pyruvate dehydrogenase complex repressor	K	-
IODOLM_00091		Pyruvate dehydrogenase E1 component	F	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200
IODOLM_00092		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	F	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200
IODOLM_00093		Dihydrolipoyl dehydrogenase	F	ko00010,ko00020,ko00260,ko00280,ko00620,ko00630,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00260,map00280,map00620,map00630,map00640,map01100,map01110,map01120,map01130,map01200
IODOLM_00094		hypothetical protein	M	-
IODOLM_00095		Aconitate hydratase B	C	ko00020,ko00630,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230
IODOLM_00096	yacL	UPF0231 protein YacL	S	-
IODOLM_00097		S-adenosylmethionine decarboxylase proenzyme	F	ko00270,ko00330,ko01100,map00270,map00330,map01100
IODOLM_00098		Polyamine aminopropyltransferase	E	ko00270,ko00330,ko00410,ko00480,ko01100,map00270,map00330,map00410,map00480,map01100
IODOLM_00100	cueO	Multicopper oxidase CueO	Q	ko00860,ko01110,map00860,map01110
IODOLM_00101	gcd	quinoprotein glucose dehydrogenase	G	ko00030,ko01100,ko01110,ko01130,map00030,map01100,map01110,map01130
IODOLM_00102		Hypoxanthine phosphoribosyltransferase	F	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110
IODOLM_00103		Carbonic anhydrase 2	P	ko00910,map00910
IODOLM_00104		ABC transporter ATP binding protein	V	-
IODOLM_00105	yadH	Inner membrane transport permease YadH	V	-
IODOLM_00106	yadI	Putative phosphotransferase enzyme IIA component YadI	G	-
IODOLM_00107		Polysaccharide deacetylase domain protein	G	-
IODOLM_00108		Aspartate 1-decarboxylase	H	ko00410,ko00770,ko01100,ko01110,map00410,map00770,map01100,map01110
IODOLM_00109	rpnC	recombination-promoting nuclease RpnC	L	-
IODOLM_00110		Pantothenate synthetase	H	ko00410,ko00770,ko01100,ko01110,map00410,map00770,map01100,map01110
IODOLM_00111		3-methyl-2-oxobutanoate hydroxymethyltransferase	H	ko00770,ko01100,ko01110,map00770,map01100,map01110
IODOLM_00112	yadC	fimbrial tip-adhesin YadC	NU	-
IODOLM_00113	yadK	Uncharacterized fimbrial-like protein YadK	NU	-
IODOLM_00114	yadL	Uncharacterized fimbrial-like protein YadL	NU	-
IODOLM_00115	yadM	Uncharacterized fimbrial-like protein YadM	NU	-
IODOLM_00116	htrE	Yad fimbria usher protein HtrE	M	ko05133,map05133
IODOLM_00118	yadN	Uncharacterized fimbrial-like protein YadN	NU	-
IODOLM_00119		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	H	ko00790,ko01100,map00790,map01100
IODOLM_00121		Glutamyl-Q tRNA(Asp) synthetase	J	-
IODOLM_00123		Sugar fermentation stimulation protein A	K	-
IODOLM_00124		RNA 2',3'-cyclic phosphodiesterase	J	-
IODOLM_00125	hrpB	ATP-dependent RNA helicase HrpB	L	-
IODOLM_00126		Penicillin-binding protein 1B	M	ko00550,map00550
IODOLM_00127	fhuA	Ferrichrome porin FhuA	P	-
IODOLM_00129	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	P	ko02010,map02010
IODOLM_00132		H(+)/Cl(-) exchange transporter	P	-
IODOLM_00133	yadW	Protein YadW		
IODOLM_00134		FeS cluster biogenesis domain-containing protein	C	-
IODOLM_00135	yadS	UPF0126 inner membrane protein YadS	S	-
IODOLM_00136		Vitamin B12-binding protein	P	ko02010,map02010
IODOLM_00137		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	F	ko00270,ko01100,ko01230,map00270,map01100,map01230
IODOLM_00138		Deoxyguanosinetriphosphate triphosphohydrolase	F	ko00230,map00230
IODOLM_00140	cdaR	DNA-binding transcriptional regulator CdaR	K	-
IODOLM_00141	yaeH	UPF0325 protein YaeH	S	-
IODOLM_00143		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	E	ko00300,ko01100,ko01120,ko01230,map00300,map01100,map01120,map01230
IODOLM_00144		Bifunctional uridylyltransferase/uridylyl-removing enzyme	O	ko02020,map02020
IODOLM_00145		Methionine aminopeptidase	E	-
IODOLM_00146		Small ribosomal subunit protein uS2	J	ko03010,map03010
IODOLM_00147		Elongation factor Ts	J	-
IODOLM_00150		1-deoxy-D-xylulose 5-phosphate reductoisomerase	I	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130
IODOLM_00151		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	I	ko00900,ko01110,map00900,map01110
IODOLM_00152		Phosphatidate cytidylyltransferase		
IODOLM_00153		Phosphatidate cytidylyltransferase	I	ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070
IODOLM_00154		Regulator of sigma E protease	M	ko02024,ko04112,map02024,map04112
IODOLM_00155	bamA	Outer membrane protein assembly factor BamA	M	-
IODOLM_00158	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	I	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212
IODOLM_00159		Acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase	M	ko00540,ko01100,ko01503,map00540,map01100,map01503
IODOLM_00160		Lipid-A-disaccharide synthase	M	ko00540,ko01100,map00540,map01100
IODOLM_00162		DNA polymerase III subunit alpha	L	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440
IODOLM_00163		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	I	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212
IODOLM_00164	ldcC	lysine decarboxylase LdcC	E	ko00310,ko00330,ko00960,ko01100,ko01110,map00310,map00330,map00960,map01100,map01110
IODOLM_00166		tRNA(Ile)-lysidine synthase	J	-
IODOLM_00173		Proline--tRNA ligase	J	ko00970,map00970
IODOLM_00175	rcsF	Outer membrane lipoprotein RcsF	M	ko02020,map02020
IODOLM_00179		D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	F	ko00540,ko01100,map00540,map01100
IODOLM_00181	dkgB	2,5-didehydrogluconate reductase DkgB	S	-
IODOLM_00182		D-malate degradation protein R	K	-
IODOLM_00183		Endonuclease/exonuclease/phosphatase domain-containing protein	S	-
IODOLM_00184		hypothetical protein	Q	-
IODOLM_00185		peptidoglycan lytic exotransglycosylase	M	-
IODOLM_00186		Hydroxyacylglutathione hydrolase	S	ko00620,map00620
IODOLM_00188		Ribonuclease H	L	ko03030,map03030
IODOLM_00190	yafT	Uncharacterized lipoprotein YafT	-	-
IODOLM_00191	ykfM	Uncharacterized protein YkfM	-	-
IODOLM_00192		hypothetical protein	S	-
IODOLM_00193	yafV	2-oxoglutaramate amidase	S	ko00250,map00250
IODOLM_00194		Inhibitor of vertebrate lysozyme	O	-
IODOLM_00195		Acyl-coenzyme A dehydrogenase	I	ko00071,ko01100,ko01212,map00071,map01100,map01212
IODOLM_00196		Phosphoheptose isomerase	G	ko00540,ko01100,map00540,map01100
IODOLM_00197	yafJ	Putative glutamine amidotransferase YafJ	S	-
IODOLM_00206	yafN	Antitoxin YafN	D	-
IODOLM_00207	yafO	type II toxin-antitoxin system mRNA interferase toxin YafO	S	-
IODOLM_00208		hypothetical protein	K	-
IODOLM_00209	ykfJ	Putative uncharacterized protein YkfJ	S	ko01501,map01501
IODOLM_00210		Putative peptide chain release factor H	J	-
IODOLM_00211		Aminoacyl-histidine dipeptidase	E	ko00480,ko01100,map00480,map01100
IODOLM_00212		Xanthine-guanine phosphoribosyltransferase	F	ko00230,ko01100,ko01110,map00230,map01100,map01110
IODOLM_00213	frsA	Esterase FrsA	S	-
IODOLM_00215		Outer membrane pore protein N, non-specific	M	ko01501,ko02020,map01501,map02020
IODOLM_00216		Glutamate 5-kinase	F	ko00330,ko00332,ko01100,ko01130,ko01230,map00330,map00332,map01100,map01130,map01230
IODOLM_00217		Gamma-glutamyl phosphate reductase	E	ko00330,ko00332,ko01100,ko01110,ko01130,ko01230,map00330,map00332,map01100,map01110,map01130,map01230
IODOLM_00225	ykfB	Uncharacterized protein YkfB	-	-
IODOLM_00227		DUF945 domain-containing protein	S	-
IODOLM_00233		RNA-directed DNA polymerase	L	ko00760,ko01120,map00760,map01120
IODOLM_00236		Amino acid permease/ SLC12A domain-containing protein	E	-
IODOLM_00238	fbpC	Fe(3+) ions import ATP-binding protein FbpC	E	ko02010,map02010
IODOLM_00239	afuB	Putative ferric transport system permease-like protein AfuB	P	ko02010,map02010
IODOLM_00241	tnp	IS1 family IS1B transposase ORF A	L	-
IODOLM_00243	yagB	type IV toxin-antitoxin system antitoxin YagB	S	-
IODOLM_00244	tnp	IS481 family ISEc19 transposase	L	-
IODOLM_00245	yagE	2-keto-3-deoxygluconate aldolase	EM	ko00040,ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00040,map00261,map00300,map01100,map01110,map01120,map01130,map01230
IODOLM_00250	tnp	IS3 family IS150 transposase ORF A	L	-
IODOLM_00252		hypothetical protein	K	-
IODOLM_00253		Ornithine carbamoyltransferase subunit I	E	ko00220,ko01100,ko01110,ko01130,ko01230,map00220,map01100,map01110,map01130,map01230
IODOLM_00255	tnp	IS1 family IS1B transposase ORF A	L	-
IODOLM_00256		Type III restriction endonuclease subunit R	KL	-
IODOLM_00258	yagL	Uncharacterized protein YagL	L	-
IODOLM_00261	yagN	Uncharacterized protein YagN		
IODOLM_00262		Integrase family protein	J	-
IODOLM_00263	yagP	Putative LysR family substrate binding domain-containing protein YagP	K	-
IODOLM_00266	paoB	aldehyde oxidoreductase FAD-binding subunit PaoB	F	ko00230,ko01100,ko01120,map00230,map01100,map01120
IODOLM_00267		Aldehyde dehydrogenase iron-sulfur subunit	F	ko00230,ko01100,ko01120,map00230,map01100,map01120
IODOLM_00268	yagU	Inner membrane protein YagU	S	-
IODOLM_00272	ecpB	fimbrial chaperone EcpB	M	-
IODOLM_00273	ecpA	common pilus major fimbrillin subunit EcpA	S	-
IODOLM_00274	ecpR	ECP biosynthesis operon DNA-binding transcriptional regulator EcpR	K	-
IODOLM_00275		Large ribosomal subunit protein bL36	J	ko03010,map03010
IODOLM_00276		Large ribosomal subunit protein bL31B	J	ko03010,map03010
IODOLM_00277	ykgR	Uncharacterized membrane protein YkgR		
IODOLM_00281		hypothetical protein	K	-
IODOLM_00282	rclC	reactive chlorine species resistance protein RclC	S	-
IODOLM_00283	rclA	putative pyridine nucleotide-disulfide oxidoreductase RclA	C	-
IODOLM_00284	rclR	DNA-binding transcriptional regulator RclR	K	-
IODOLM_00285		Hydroxyacid oxidoreductase (Fe-S centre)	C	-
IODOLM_00286	ykgF	Uncharacterized electron transport protein YkgF	C	-
IODOLM_00288	ykgH	Uncharacterized protein YkgH	-	-
IODOLM_00289		Oxygen-dependent choline dehydrogenase	E	ko00260,ko01100,map00260,map01100
IODOLM_00290		Betaine aldehyde dehydrogenase	C	ko00260,ko01100,map00260,map01100
IODOLM_00291	betI	HTH-type transcriptional regulator BetI	K	-
IODOLM_00292	betT	choline BCCT transporter BetT	M	-
IODOLM_00293	pdeL	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL	K	-
IODOLM_00295	yahC	Uncharacterized protein YahC	S	-
IODOLM_00296		hypothetical protein	S	-
IODOLM_00297	yahE	Uncharacterized protein YahE	S	-
IODOLM_00298	yahF	Uncharacterized protein YahF	C	-
IODOLM_00300		Nucleoprotein/polynucleotide-associated enzyme	S	-
IODOLM_00301		S-formylglutathione hydrolase	S	ko00680,ko01120,ko01200,map00680,map01120,map01200
IODOLM_00302	frmA	S-(hydroxymethyl)glutathione dehydrogenase	C	ko00010,ko00071,ko00350,ko00625,ko00626,ko00680,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01200,ko01220,ko05204,map00010,map00071,map00350,map00625,map00626,map00680,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01200,map01220,map05204
IODOLM_00303	frmR	Regulator protein FrmR	K	-
IODOLM_00305		hypothetical protein	JM	-
IODOLM_00306	tnp	IS3 family IS2 transposase ORF A	L	-
IODOLM_00307	tnp	IS3 family IS2 transposase ORF B	L	-
IODOLM_00308	yaiP	Uncharacterized glycosyltransferase YaiP	M	-
IODOLM_00311	tauB	Taurine import ATP-binding protein TauB	P	ko00920,ko02010,map00920,map02010
IODOLM_00312	tauC	Taurine transport system permease TauC	P	ko00920,ko02010,map00920,map02010
IODOLM_00313		Alpha-ketoglutarate-dependent taurine dioxygenase	Q	ko00430,ko00920,map00430,map00920
IODOLM_00315		hypothetical protein	MU	-
IODOLM_00318		Outer membrane autotransporter domain protein	MU	-
IODOLM_00320	ampH	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	M	-
IODOLM_00322	bacA	Bacteroid development protein BacA	U	-
IODOLM_00323	yaiW	surface-exposed outer membrane lipoprotein YaiW	S	-
IODOLM_00325		DUF2754 domain-containing protein	S	-
IODOLM_00326		D-alanine--D-alanine ligase A	F	ko00473,ko00550,ko01100,ko01502,map00473,map00550,map01100,map01502
IODOLM_00327	iraP	Anti-adapter protein IraP	J	-
IODOLM_00328		Alkaline phosphatase	P	ko00730,ko00790,ko01100,ko02020,map00730,map00790,map01100,map02020
IODOLM_00329		hypothetical protein	S	-
IODOLM_00330	dgcC	putative diguanylate cyclase DgcC	T	ko02026,map02026
IODOLM_00335	aroM	Protein AroM	E	-
IODOLM_00336		Pyrimidine/purine nucleoside phosphorylase	S	ko00230,ko00240,map00230,map00240
IODOLM_00337		hypothetical protein		
IODOLM_00338	rdgC	Recombination-associated protein RdgC	J	-
IODOLM_00340	araJ	Putative transporter AraJ	EGP	-
IODOLM_00341		Nuclease SbcCD subunit C	L	-
IODOLM_00344	phoR	Phosphate regulon sensor protein PhoR	T	ko02020,map02020
IODOLM_00346	ytnA	Uncharacterized amino acid permease YtnA	E	-
IODOLM_00347		Maltodextrin glucosidase	G	ko00052,ko00500,ko01100,map00052,map00500,map01100
IODOLM_00348		Acyl carrier protein phosphodiesterase	I	ko00770,map00770
IODOLM_00349		S-adenosylmethionine:tRNA ribosyltransferase-isomerase	F	-
IODOLM_00350		Queuine tRNA-ribosyltransferase	F	-
IODOLM_00352	secD	Protein translocase subunit SecD	U	ko03060,ko03070,map03060,map03070
IODOLM_00353	secF	Protein-export membrane protein SecF	U	ko03060,ko03070,map03060,map03070
IODOLM_00354	yajD	HNH nuclease YajD	V	-
IODOLM_00355	tsx	nucleoside-specific channel-forming protein Tsx	M	-
IODOLM_00357	nrdR	Transcriptional repressor NrdR	K	-
IODOLM_00358	ribD	Riboflavin biosynthesis protein RibD	H	ko00740,ko01100,ko01110,ko02024,map00740,map01100,map01110,map02024
IODOLM_00359		6,7-dimethyl-8-ribityllumazine synthase	H	ko00740,ko01100,ko01110,map00740,map01100,map01110
IODOLM_00360	nusB	Transcription antitermination protein NusB	K	-
IODOLM_00362		Phosphatidylglycerophosphatase A	I	ko00564,ko01100,map00564,map01100
IODOLM_00363	yajO	1-deoxyxylulose-5-phosphate synthase YajO	C	-
IODOLM_00364		1-deoxy-D-xylulose-5-phosphate synthase	F	ko00730,ko00900,ko01100,ko01110,ko01130,map00730,map00900,map01100,map01110,map01130
IODOLM_00365		Geranyltranstransferase	H	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130
IODOLM_00367		tRNA sulfurtransferase	F	ko00730,ko01100,ko04122,map00730,map01100,map04122
IODOLM_00372		Protoheme IX farnesyltransferase	H	ko00190,ko00860,ko01100,ko01110,ko04714,map00190,map00860,map01100,map01110,map04714
IODOLM_00373		Cytochrome bo(3) ubiquinol oxidase subunit 4	C	ko00190,ko01100,map00190,map01100
IODOLM_00374		Cytochrome bo(3) ubiquinol oxidase subunit 3	C	ko00190,ko01100,map00190,map01100
IODOLM_00375		Cytochrome o ubiquinol oxidase subunit I	C	ko00190,ko01100,map00190,map01100
IODOLM_00376		Ubiquinol oxidase subunit 2	C	ko00190,ko01100,map00190,map01100
IODOLM_00377		Anhydromuropeptide permease	P	ko01501,map01501
IODOLM_00378	yajG	Lipoprotein YajG	M	-
IODOLM_00379	bolA	DNA-binding transcriptional regulator BolA	K	-
IODOLM_00381		ATP-dependent Clp protease proteolytic subunit	O	ko04112,ko04212,map04112,map04212
IODOLM_00382	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	O	ko04112,map04112
IODOLM_00383		Lon protease	O	ko04112,map04112
IODOLM_00384	hupB	Histone-like bacterial DNA-binding protein, hupB family	L	-
IODOLM_00385	ppiD	Periplasmic chaperone PpiD	O	-
IODOLM_00386	ybaV	Uncharacterized protein YbaV	L	-
IODOLM_00387	fadM	long-chain acyl-CoA thioesterase FadM	S	-
IODOLM_00388		7-cyano-7-deazaguanine synthase	F	ko00790,ko01100,map00790,map01100
IODOLM_00392		ABC transporter ATP-binding protein/permease	P	ko02010,map02010
IODOLM_00393	mdlB	Multidrug resistance-like ATP-binding protein MdlB	P	ko01501,ko02010,map01501,map02010
IODOLM_00394		Nitrogen regulatory protein P-II	K	-
IODOLM_00396		Acyl-CoA thioesterase 2	I	ko01040,map01040
IODOLM_00397	ybaY	Uncharacterized lipoprotein YbaY	S	-
IODOLM_00398		hypothetical protein	L	-
IODOLM_00399	ybaA	Uncharacterized protein YbaA	S	-
IODOLM_00400	pdeB	cyclic-guanylate-specific phosphodiesterase PdeB	T	-
IODOLM_00402		Maltose O-acetyltransferase	S	-
IODOLM_00403		Hemolysin expression-modulating protein Hha	K	-
IODOLM_00404	tomB	Hha toxicity modulator TomB	L	-
IODOLM_00405	acrB	efflux RND transporter permease AcrB	V	ko01501,ko01503,map01501,map01503
IODOLM_00408	mscK	Mechanosensitive channel MscK	DM	-
IODOLM_00410		Primosomal replication protein N''	L	ko03440,map03440
IODOLM_00411	ybaN	Inner membrane protein YbaN	S	-
IODOLM_00412		Adenine phosphoribosyltransferase	F	ko00230,ko01100,map00230,map01100
IODOLM_00413		DNA polymerase III subunit gamma/tau	F	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440
IODOLM_00414		Nucleoid-associated protein Sden_2380	S	-
IODOLM_00415	recR	Recombination protein RecR	L	ko03440,map03440
IODOLM_00416	htpG	Chaperone protein HtpG	O	ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418
IODOLM_00417		Adenylate kinase	F	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130
IODOLM_00420	gsk	inosine/guanosine kinase	F	ko00030,ko00051,ko00230,ko00500,ko00520,ko01100,map00030,map00051,map00230,map00500,map00520,map01100
IODOLM_00421	ybaL	Putative cation/proton antiporter YbaL	P	-
IODOLM_00422	fsr	fosmidomycin MFS transporter	P	-
IODOLM_00424	ybaK	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	S	-
IODOLM_00425		Ligase	S	-
IODOLM_00426	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	K	-
IODOLM_00427		Copper-exporting P-type ATPase	P	ko01524,ko04016,map01524,map04016
IODOLM_00429	ybaT	Inner membrane transport protein YbaT	E	-
IODOLM_00431	ybbJ	Inner membrane protein YbbJ	OU	-
IODOLM_00432	qmcA	Protein QmcA	O	-
IODOLM_00435	cnoX	chaperedoxin	O	ko04621,ko05418,map04621,map05418
IODOLM_00438		ABC transporter ATP-binding protein	P	-
IODOLM_00439		ABC3 transporter permease C-terminal domain-containing protein	Q	-
IODOLM_00441	ybbC	Uncharacterized protein YbbC	S	-
IODOLM_00444		Integrase	L	-
IODOLM_00445		tRNA 2-selenouridine synthase	J	-
IODOLM_00447		Ureidoglycolate lyase	F	ko00230,ko01100,map00230,map01100
IODOLM_00448	allR	HTH-type transcriptional repressor AllR	K	-
IODOLM_00450		Hydroxypyruvate isomerase	G	ko00630,ko01100,map00630,map01100
IODOLM_00451	glxR	2-hydoxy-3-oxopropionate reductase GlxR	I	ko00630,ko01100,map00630,map01100
IODOLM_00452		Allantoin permease	FH	-
IODOLM_00456		(S)-ureidoglycine aminohydrolase	S	ko00230,ko01120,map00230,map01120
IODOLM_00457		Allantoate amidohydrolase	E	ko00230,ko01120,map00230,map01120
IODOLM_00462		Carbamate kinase	F	ko00220,ko00230,ko00910,ko01100,ko01120,ko01200,map00220,map00230,map00910,map01100,map01120,map01200
IODOLM_00463		N5-carboxyaminoimidazole ribonucleotide synthase	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
IODOLM_00464		N5-carboxyaminoimidazole ribonucleotide mutase	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
IODOLM_00465		UDP-2,3-diacylglucosamine hydrolase	S	ko00540,ko01100,map00540,map01100
IODOLM_00466		Peptidyl-prolyl cis-trans isomerase	O	-
IODOLM_00467		Cysteine--tRNA ligase	J	ko00970,map00970
IODOLM_00470		Bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	F	ko00670,ko00720,ko01100,ko01120,ko01200,map00670,map00720,map01100,map01120,map01200
IODOLM_00471	sfmA	Uncharacterized fimbrial-like protein SfmA	NU	ko05133,map05133
IODOLM_00472	sfmC	putative fimbrial chaperone SfmC	NU	-
IODOLM_00476		Fimbriae Z protein	K	ko02020,ko05133,map02020,map05133
IODOLM_00485	ybcM	Uncharacterized HTH-type transcriptional regulator YbcM	K	-
IODOLM_00492		hypothetical protein	F	ko00051,ko01120,map00051,map01120
IODOLM_00494		Outer membrane protein C2	M	ko01501,ko02020,map01501,map02020
IODOLM_00495	essD	phage lysis protein EssD	S	-
IODOLM_00496	rrrD	lysozyme RrrD	G	-
IODOLM_00498	bor	serum resistance lipoprotein Bor	S	-
IODOLM_00499	ybcV	Uncharacterized protein YbcV	E	-
IODOLM_00500		Phage protein		
IODOLM_00505	appY	DNA-binding transcriptional activator AppY	K	ko02020,ko05111,map02020,map05111
IODOLM_00506	ompT	omptin family outer membrane protease OmpT	M	-
